town,date,max_temp_c,min_temp_c,avg_temp_c,humidity,precipitation_mm,wind_kph,condition
Kisumu,2023-10-16,28.0,19.0,22.2,70,1.86,23.8,Patchy rain possible
Kisumu,2023-10-17,25.5,18.7,21.7,79,2.67,16.2,Patchy rain possible
Kisumu,2023-10-18,27.4,19.1,22.2,74,5.52,25.6,Patchy light rain
Kisumu,2023-10-19,26.6,18.7,22.3,72,0.66,13.7,Patchy rain possible
Kisumu,2023-10-20,27.6,18.3,22.2,72,3.16,10.8,Patchy rain possible
Kisumu,2023-10-21,26.8,18.6,22.1,73,6.04,13.7,Patchy rain possible
Kisumu,2023-10-22,27.6,19.2,21.7,77,9.33,27.0,Light rain
Kisumu,2023-10-23,28.0,18.8,22.8,72,2.9,12.6,Patchy light rain with thunder
Kisumu,2023-10-24,28.6,18.5,23.4,61,0.03,11.5,Sunny
Kisumu,2023-10-25,28.4,19.4,22.6,69,3.29,21.6,Patchy rain possible
Kisumu,2023-10-26,27.7,19.0,23.1,66,1.27,10.8,Patchy light drizzle
Kisumu,2023-10-27,27.9,18.6,22.7,69,2.64,12.2,Patchy rain possible
Kisumu,2023-10-28,26.9,18.3,22.1,72,6.04,10.4,Patchy rain possible
Kisumu,2023-10-29,27.0,18.2,21.8,73,4.1,11.5,Patchy rain possible
Kisumu,2023-10-30,28.0,18.4,22.3,72,1.63,12.2,Patchy rain possible
Kisumu,2023-10-31,27.8,18.3,21.5,76,27.46,18.4,Heavy rain at times
Kisumu,2023-11-01,27.8,18.9,22.3,75,5.16,11.5,Light rain shower
Kisumu,2023-11-02,27.3,18.9,21.9,78,43.69,18.0,Heavy rain
Kisumu,2023-11-03,24.1,18.9,20.6,84,13.0,15.8,Light rain shower
Kisumu,2023-11-04,21.3,19.2,19.9,90,15.02,5.4,Light rain shower
Kisumu,2023-11-05,24.6,18.7,21.0,83,43.76,9.4,Moderate or heavy rain shower
Kisumu,2023-11-06,24.3,19.2,21.1,85,47.85,10.4,Torrential rain shower
Kisumu,2023-11-07,23.9,18.0,20.9,84,19.66,17.6,Light rain shower
Kisumu,2023-11-08,25.5,18.8,21.7,80,14.4,8.6,Moderate or heavy rain shower
Kisumu,2023-11-09,26.1,19.2,21.9,76,9.74,14.0,Moderate or heavy rain shower
Kisumu,2023-11-10,25.5,19.0,21.5,80,17.01,12.2,Moderate or heavy rain shower
Kisumu,2023-11-11,25.5,19.2,21.8,76,8.39,7.2,Light rain shower
Kisumu,2023-11-12,26.6,19.3,22.1,77,12.76,12.2,Light rain shower
Kisumu,2023-11-13,25.8,19.9,21.9,83,19.19,12.6,Light rain shower
Kisumu,2023-11-14,26.0,18.9,22.0,76,8.1,11.5,Patchy light rain
Kisumu,2023-11-15,26.2,18.7,21.8,79,8.11,14.0,Light rain shower
